1,DANCE MONKEY,Tones And I,48870726,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,THE BOX,Roddy Ricch,46753969,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,BLINDING LIGHTS,The Weeknd,37841717,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,TUSA,KAROL G,37220495,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
5,GODZILLA (FEAT. JUICE WRLD),Eminem,36136822,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
6,YUMMY,Justin Bieber,31623733,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
7,LIFE IS GOOD (FEAT. DRAKE),Future,30860993,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
8,ROXANNE,Arizona Zervas,30372434,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
9,FALLING,Trevor Daniel,29014454,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,DON'T START NOW,Dua Lipa,28864493,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,EVERYTHING I WANTED,Billie Eilish,26396743,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,MEMORIES,Maroon 5,23697458,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
13,BAD GUY,Billie Eilish,23376715,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
14,CIRCLES,Post Malone,23186017,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,SOMEONE YOU LOVED,Lewis Capaldi,20588918,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,RITMO (BAD BOYS FOR LIFE),Black Eyed Peas,20146475,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
17,SEÑORITA,Shawn Mendes,18771205,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
18,YOU SHOULD BE SAD,Halsey,17978413,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
19,LOSE YOU TO LOVE ME,Selena Gomez,16174781,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
20,ADORE YOU,Harry Styles,15683713,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
21,MY OH MY (FEAT. DABABY),Camila Cabello,15679609,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
22,SIGUES CON EL,Dímelo Flow,15565311,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
23,SUICIDAL,YNW Melly,14973919,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
24,BEFORE YOU GO,Lewis Capaldi,14863720,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,RARE,Selena Gomez,14781411,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
26,VETE,Bad Bunny,14434579,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
27,GOOD NEWS,Mac Miller,14060319,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
28,WHAT A MAN GOTTA DO,Jonas Brothers,13982385,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
29,WHAT IF I TOLD YOU THAT I LOVE YOU,Ali Gatie,13658542,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
30,RIDE IT,Regard,13630726,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
31,BOP,DaBaby,13620687,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
32,SAY SO,Doja Cat,13428847,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
33,HOLA - REMIX,Dalex,12805722,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
34,LOSE CONTROL,MEDUZA,12583387,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
35,HOT GIRL BUMMER,blackbear,12540620,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
36,FANTASIAS,Rauw Alejandro,12396038,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
37,NO IDEA,Don Toliver,12247577,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
38,MORADO,J Balvin,12128351,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
39,SUGAR,BROCKHAMPTON,12092669,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
40,WATERMELON SUGAR,Harry Styles,11924877,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
41,SUNFLOWER - SPIDER-MAN: INTO THE SPIDER-VERSE,Post Malone,11759219,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
42,WHEN THE PARTY'S OVER,Billie Eilish,11703237,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
43,I DON'T CARE (WITH JUSTIN BIEBER),Ed Sheeran,11614436,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
44,BALLIN' (WITH RODDY RICCH),Mustard,11573610,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
45,HIGHEST IN THE ROOM,Travis Scott,11515487,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
46,AYY MACARENA,Tyga,11388713,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
